Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
CONDITIONALS_BOUNDARY;0;1;12.0;0;13.0;0;1;0;0;0;0;1.0;0.52;unknown;100;0;
RETURN_VALS;0;2;12.0;0;14.0;0;2;0;0;0;0;1.0;0.5384615384615384;unknown;100;0;
MATH;0;1;12.0;0;13.0;0;1;0;0;0;0;1.0;0.52;unknown;100;0;
NEGATE_CONDITIONALS;0;2;12.0;0;14.0;0;2;0;0;0;0;1.0;0.5384615384615384;unknown;100;0;
CONDITIONALS_BOUNDARY;0;2;13.0;0;14.0;1;0;0;0;0;0;0.52;0.5185185185185185;org.junit.Assert;100;1;
RETURN_VALS;0;5;17.0;0;14.0;0;0;0;0;0;0;0.5384615384615384;0.45161290322580644;org.junit.Assert;100;5;
MATH;0;1;13.0;0;13.0;0;0;0;0;0;0;0.52;0.5;org.junit.Assert;100;1;
NEGATE_CONDITIONALS;0;19;31.0;0;14.0;0;0;0;0;0;0;0.5384615384615384;0.3111111111111111;org.junit.Assert;100;19;
INCREMENTS;0;2;14.0;0;12.0;0;0;0;0;0;0;1.0;0.46153846153846156;org.hamcrest.BaseDescription;100;2;
CONDITIONALS_BOUNDARY;0;1;14.0;0;14.0;0;0;0;0;0;0;0.5185185185185185;0.5;org.hamcrest.BaseDescription;100;1;
RETURN_VALS;0;5;19.0;0;17.0;0;3;1;0;0;0;0.45161290322580644;0.4722222222222222;org.hamcrest.BaseDescription;100;1;
NEGATE_CONDITIONALS;0;1;32.0;0;14.0;0;0;0;0;0;0;0.3111111111111111;0.30434782608695654;org.hamcrest.BaseDescription;100;1;
RETURN_VALS;0;2;21.0;0;17.0;0;0;0;0;0;0;0.4722222222222222;0.4473684210526316;org.hamcrest.StringDescription;100;2;
RETURN_VALS;0;6;21.0;0;23.0;0;6;0;0;0;0;0.4473684210526316;0.5227272727272727;org.hamcrest.core.AnyOf;100;0;
NEGATE_CONDITIONALS;0;1;32.0;0;15.0;0;1;0;0;0;0;0.30434782608695654;0.3191489361702128;org.hamcrest.CustomMatcher;100;0;
RETURN_VALS;0;1;22.0;0;23.0;0;0;0;0;0;0;0.5227272727272727;0.5111111111111111;org.hamcrest.DiagnosingMatcher;100;1;
RETURN_VALS;0;8;27.0;0;26.0;1;2;2;0;0;0;0.5111111111111111;0.49056603773584906;org.hamcrest.core.AllOf;100;3;
