Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;3;13.0;0;14.0;0;2;0;0;0;0;1.0;0.5185185185185185;org.junit.ComparisonFailure;100;1;
NEGATE_CONDITIONALS;0;5;15.0;0;14.0;0;2;0;0;0;0;1.0;0.4827586206896552;org.junit.Assume;100;3;
CONDITIONALS_BOUNDARY;0;2;13.0;0;13.0;1;0;0;0;0;0;1.0;0.5;org.junit.Assert;100;1;
RETURN_VALS;0;9;22.0;0;14.0;0;0;0;0;0;0;0.5185185185185185;0.3888888888888889;org.junit.Assert;100;9;
MATH;0;2;14.0;0;12.0;0;0;0;0;0;0;1.0;0.46153846153846156;org.junit.Assert;100;2;
NEGATE_CONDITIONALS;0;15;30.0;0;14.0;0;0;0;0;0;0;0.4827586206896552;0.3181818181818182;org.junit.Assert;100;15;
RETURN_VALS;0;1;23.0;0;14.0;0;0;0;0;0;0;0.3888888888888889;0.3783783783783784;org.junit.validator.AnnotationValidatorFactory;100;1;
NEGATE_CONDITIONALS;0;1;30.0;0;15.0;1;0;0;0;0;0;0.3181818181818182;0.3333333333333333;org.junit.validator.AnnotationValidatorFactory;100;0;
CONDITIONALS_BOUNDARY;0;1;14.0;0;13.0;0;0;0;0;0;0;0.5;0.48148148148148145;org.junit.runners.BlockJUnit4ClassRunner;100;1;
RETURN_VALS;0;10;33.0;0;14.0;0;0;0;0;0;0;0.3783783783783784;0.2978723404255319;org.junit.runners.BlockJUnit4ClassRunner;100;10;
NEGATE_CONDITIONALS;0;5;35.0;0;15.0;0;0;0;0;0;0;0.3333333333333333;0.3;org.junit.runners.BlockJUnit4ClassRunner;100;5;
INCREMENTS;0;1;13.0;0;12.0;0;0;0;0;0;0;1.0;0.48;org.junit.runners.Parameterized;100;1;
RETURN_VALS;0;5;38.0;0;14.0;0;0;0;0;0;0;0.2978723404255319;0.2692307692307692;org.junit.runners.Parameterized;100;5;
NEGATE_CONDITIONALS;0;2;37.0;0;15.0;0;0;0;0;0;0;0.3;0.28846153846153844;org.junit.runners.Parameterized;100;2;
RETURN_VALS;0;6;44.0;0;14.0;0;0;0;0;0;0;0.2692307692307692;0.2413793103448276;org.junit.runners.ParentRunner;100;6;
NEGATE_CONDITIONALS;0;5;42.0;0;15.0;0;0;0;0;0;0;0.28846153846153844;0.2631578947368421;org.junit.runners.ParentRunner;100;5;
RETURN_VALS;0;1;45.0;0;14.0;0;0;0;0;0;0;0.2413793103448276;0.23728813559322035;org.junit.runners.Suite;100;1;
RETURN_VALS;0;1;46.0;0;14.0;0;0;0;0;0;0;0.23728813559322035;0.23333333333333334;org.junit.runner.FilterFactories;100;1;
INCREMENTS;0;2;15.0;0;12.0;0;0;0;0;0;0;0.48;0.4444444444444444;org.junit.runner.JUnitCommandLineParseResult;100;2;
CONDITIONALS_BOUNDARY;0;1;15.0;0;13.0;0;0;0;0;0;0;0.48148148148148145;0.4642857142857143;org.junit.runner.JUnitCommandLineParseResult;100;1;
RETURN_VALS;0;8;53.0;0;15.0;1;0;0;0;0;0;0.23333333333333334;0.22058823529411764;org.junit.runner.JUnitCommandLineParseResult;100;7;
MATH;0;1;15.0;0;12.0;0;0;0;0;0;0;0.46153846153846156;0.4444444444444444;org.junit.runner.JUnitCommandLineParseResult;100;1;
NEGATE_CONDITIONALS;0;4;46.0;0;15.0;0;0;0;0;0;0;0.2631578947368421;0.2459016393442623;org.junit.runner.JUnitCommandLineParseResult;100;4;
RETURN_VALS;0;3;55.0;0;16.0;1;0;0;0;0;0;0.22058823529411764;0.22535211267605634;org.junit.runner.JUnitCore;100;2;
CONDITIONALS_BOUNDARY;0;1;15.0;0;14.0;0;1;0;0;0;0;0.4642857142857143;0.4827586206896552;org.junit.runner.Description;100;0;
INCREMENTS;0;1;15.0;0;13.0;0;1;0;0;0;0;0.4444444444444444;0.4642857142857143;org.junit.runner.Description;100;0;
RETURN_VALS;0;10;55.0;0;26.0;0;10;0;0;0;0;0.22535211267605634;0.32098765432098764;org.junit.runner.Description;100;0;
NEGATE_CONDITIONALS;0;4;46.0;0;19.0;0;4;0;0;0;0;0.2459016393442623;0.2923076923076923;org.junit.runner.Description;100;0;
RETURN_VALS;0;4;59.0;0;26.0;0;0;0;0;0;0;0.32098765432098764;0.3058823529411765;org.junit.runner.Request;100;4;
RETURN_VALS;0;5;64.0;0;26.0;0;0;0;0;0;0;0.3058823529411765;0.28888888888888886;org.junit.runner.Result;100;5;
RETURN_VALS;0;1;65.0;0;26.0;0;0;0;0;0;0;0.28888888888888886;0.2857142857142857;org.junit.rules.DisableOnDebug;100;1;
RETURN_VALS;0;1;66.0;0;26.0;0;0;0;0;0;0;0.2857142857142857;0.2826086956521739;org.junit.rules.ErrorCollector;100;1;
RETURN_VALS;0;2;67.0;0;27.0;1;0;0;0;0;0;0.2826086956521739;0.2872340425531915;org.junit.rules.ExpectedException;100;1;
NEGATE_CONDITIONALS;0;1;47.0;0;19.0;0;0;0;0;0;0;0.2923076923076923;0.2878787878787879;org.junit.rules.ExpectedExceptionMatcherBuilder;100;1;
RETURN_VALS;0;1;68.0;0;27.0;0;0;0;0;0;0;0.2872340425531915;0.28421052631578947;org.junit.rules.ExternalResource;100;1;
RETURN_VALS;0;1;69.0;0;27.0;0;0;0;0;0;0;0.28421052631578947;0.28125;org.junit.rules.RuleChain;100;1;
RETURN_VALS;0;1;70.0;0;27.0;0;0;0;0;0;0;0.28125;0.27835051546391754;org.junit.rules.RunRules;100;1;
NEGATE_CONDITIONALS;0;1;48.0;0;19.0;0;0;0;0;0;0;0.2878787878787879;0.2835820895522388;org.junit.rules.Stopwatch;100;1;
CONDITIONALS_BOUNDARY;0;2;17.0;0;14.0;0;0;0;0;0;0;0.4827586206896552;0.45161290322580644;org.junit.rules.TemporaryFolder;100;2;
RETURN_VALS;0;2;72.0;0;27.0;0;0;0;0;0;0;0.27835051546391754;0.2727272727272727;org.junit.rules.TemporaryFolder;100;2;
NEGATE_CONDITIONALS;0;4;52.0;0;19.0;0;0;0;0;0;0;0.2835820895522388;0.2676056338028169;org.junit.rules.TemporaryFolder;100;4;
RETURN_VALS;0;1;73.0;0;27.0;0;0;0;0;0;0;0.2727272727272727;0.27;org.junit.rules.TestWatcher;100;1;
RETURN_VALS;0;1;74.0;0;27.0;0;0;0;0;0;0;0.27;0.26732673267326734;org.junit.rules.Timeout;100;1;
CONDITIONALS_BOUNDARY;0;1;18.0;0;14.0;0;0;0;0;0;0;0.45161290322580644;0.4375;org.junit.internal.ComparisonCriteria;100;1;
RETURN_VALS;0;1;75.0;0;27.0;0;0;0;0;0;0;0.26732673267326734;0.2647058823529412;org.junit.internal.ComparisonCriteria;100;1;
NEGATE_CONDITIONALS;0;1;53.0;0;19.0;0;0;0;0;0;0;0.2676056338028169;0.2638888888888889;org.junit.internal.ComparisonCriteria;100;1;
RETURN_VALS;0;1;76.0;0;27.0;0;0;0;0;0;0;0.2647058823529412;0.2621359223300971;org.junit.internal.AssumptionViolatedException;100;1;
RETURN_VALS;0;1;77.0;0;27.0;0;0;0;0;0;0;0.2621359223300971;0.25961538461538464;org.junit.internal.MethodSorter;100;1;
NEGATE_CONDITIONALS;0;1;54.0;0;19.0;0;0;0;0;0;0;0.2638888888888889;0.2602739726027397;org.junit.internal.ArrayComparisonFailure;100;1;
RETURN_VALS;0;2;78.0;0;28.0;1;0;0;0;0;0;0.25961538461538464;0.2641509433962264;org.junit.internal.TextListener;100;1;
MATH;0;1;15.0;0;13.0;1;0;0;0;0;0;0.4444444444444444;0.4642857142857143;org.junit.internal.TextListener;100;0;
NEGATE_CONDITIONALS;0;2;56.0;0;19.0;0;0;0;0;0;0;0.2602739726027397;0.25333333333333335;org.junit.internal.TextListener;100;2;
