Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
INCREMENTS;0;6;38.0;0;18.0;0;0;0;0;0;0;0.36;0.32142857142857145;unknown;100;6;
CONDITIONALS_BOUNDARY;0;4;40.0;0;20.0;0;0;0;0;0;0;0.35714285714285715;0.3333333333333333;unknown;100;4;
RETURN_VALS;0;81;502.0;0;237.0;2;18;0;0;1;0;0.32978723404255317;0.32070365358592695;unknown;100;60;
MATH;0;4;24.0;0;18.0;1;1;0;0;0;0;0.42105263157894735;0.42857142857142855;unknown;100;2;
NEGATE_CONDITIONALS;0;41;369.0;0;98.0;3;4;0;0;0;0;0.2136150234741784;0.20985010706638116;unknown;100;34;
Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
INCREMENTS;0;2;40.0;0;18.0;0;0;0;0;0;0;0.32142857142857145;0.3103448275862069;unknown;100;2;
CONDITIONALS_BOUNDARY;0;3;43.0;0;20.0;0;0;0;0;0;0;0.3333333333333333;0.31746031746031744;unknown;100;3;
RETURN_VALS;0;85;567.0;0;257.0;3;17;0;0;0;0;0.32070365358592695;0.3118932038834951;unknown;100;65;
MATH;0;5;28.0;0;19.0;1;0;0;0;0;0;0.42857142857142855;0.40425531914893614;unknown;100;4;
NEGATE_CONDITIONALS;0;32;398.0;0;101.0;1;2;0;0;0;0;0.20985010706638116;0.20240480961923848;unknown;100;29;
