INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
1.ini;com.uj.atm.common.Account;1287;OK;19;1,27;1;20;15;15;11;11;2;2;0;0;0;0;0;0
1.ini;com.uj.atm.common.Atm;810;OK;8;1;1;17;17;8;8;8;0;0;0;0;0;0;0;0
1.ini;com.uj.atm.common.CreditCard;876;OK;21;1,4;1;24;24;15;13;13;2;0;0;0;0;0;0;0
1.ini;com.uj.atm.common.DummySample;17893;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
1_2.ini;com.uj.atm.common.Account;455;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
1_2.ini;com.uj.atm.common.Atm;737;OK;0;0;1;17;5;8;2;0;0;6;0;0;2;0;0;0
1_2.ini;com.uj.atm.common.CreditCard;753;OK;0;0;1;24;12;15;8;0;0;7;0;0;8;0;0;0
1_2.ini;com.uj.atm.common.DummySample;17882;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
1_3.ini;com.uj.atm.common.Account;714;OK;0;0;1;20;13;15;12;0;0;3;0;0;12;0;0;0
1_3.ini;com.uj.atm.common.Atm;388;OK;0;0;1;17;1;8;0;0;0;8;0;0;0;0;0;0
1_3.ini;com.uj.atm.common.CreditCard;697;OK;0;0;1;24;8;15;6;0;0;9;0;0;6;0;0;0
1_3.ini;com.uj.atm.common.DummySample;361;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
1_4.ini;com.uj.atm.common.Account;406;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
1_4.ini;com.uj.atm.common.Atm;705;OK;0;0;1;17;5;8;2;0;0;6;0;0;2;0;0;0
1_4.ini;com.uj.atm.common.CreditCard;699;OK;0;0;1;24;7;15;3;0;0;12;0;0;3;0;0;0
1_4.ini;com.uj.atm.common.DummySample;17884;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
1_5.ini;com.uj.atm.common.Account;342;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
1_5.ini;com.uj.atm.common.Atm;343;OK;0;0;1;17;0;8;0;0;0;8;0;0;0;0;0;0
1_5.ini;com.uj.atm.common.CreditCard;340;OK;0;0;1;24;0;15;0;0;0;15;0;0;0;0;0;0
1_5.ini;com.uj.atm.common.DummySample;17859;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
1_6.ini;com.uj.atm.common.Account;371;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
1_6.ini;com.uj.atm.common.Atm;381;OK;0;0;1;17;0;8;0;0;0;8;0;0;0;0;0;0
1_6.ini;com.uj.atm.common.CreditCard;381;OK;0;0;1;24;0;15;0;0;0;15;0;0;0;0;0;0
1_6.ini;com.uj.atm.common.DummySample;17903;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
1_7.ini;com.uj.atm.common.Account;809;OK;12;0,8;1;20;13;15;6;6;6;3;0;0;0;0;0;0
1_7.ini;com.uj.atm.common.Atm;399;OK;0;0;1;17;1;8;0;0;0;8;0;0;0;0;0;0
1_7.ini;com.uj.atm.common.CreditCard;701;OK;0;0;1;24;8;15;6;0;0;9;0;0;6;0;0;0
1_7.ini;com.uj.atm.common.DummySample;371;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
2.ini;com.uj.atm.common.Account;714;OK;0;0;1;9;9;5;5;0;0;0;0;0;5;0;0;0
2.ini;com.uj.atm.common.Atm;717;OK;0;0;1;10;9;8;7;0;0;1;0;0;7;0;0;0
2.ini;com.uj.atm.common.CreditCard;738;OK;0;0;1;20;19;15;14;0;0;1;0;0;14;0;0;0
2.ini;com.uj.atm.common.DummySample;17901;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_1.ini;com.uj.atm.common.Account;392;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_1.ini;com.uj.atm.common.Atm;699;OK;0;0;1;10;5;8;4;0;0;4;0;0;4;0;0;0
2_1.ini;com.uj.atm.common.CreditCard;731;OK;0;0;1;20;14;15;13;0;0;2;0;0;13;0;0;0
2_1.ini;com.uj.atm.common.DummySample;17871;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_3.ini;com.uj.atm.common.Account;378;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_3.ini;com.uj.atm.common.Atm;385;OK;0;0;1;10;1;8;0;0;0;8;0;0;0;0;0;0
2_3.ini;com.uj.atm.common.CreditCard;387;OK;0;0;1;20;2;15;0;0;0;15;0;0;0;0;0;0
2_3.ini;com.uj.atm.common.DummySample;361;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
2_4.ini;com.uj.atm.common.Account;704;OK;0;0;1;9;9;5;5;0;0;0;0;0;5;0;0;0
2_4.ini;com.uj.atm.common.Atm;709;OK;0;0;1;10;7;8;5;0;0;3;0;0;5;0;0;0
2_4.ini;com.uj.atm.common.CreditCard;708;OK;0;0;1;20;11;15;8;0;0;7;0;0;8;0;0;0
2_4.ini;com.uj.atm.common.DummySample;17871;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_5.ini;com.uj.atm.common.Account;339;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.Atm;340;OK;0;0;1;10;0;8;0;0;0;8;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.CreditCard;345;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
2_5.ini;com.uj.atm.common.DummySample;17888;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_6.ini;com.uj.atm.common.Account;373;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.Atm;374;OK;0;0;1;10;0;8;0;0;0;8;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.CreditCard;377;OK;0;0;1;20;0;15;0;0;0;15;0;0;0;0;0;0
2_6.ini;com.uj.atm.common.DummySample;17887;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
2_7.ini;com.uj.atm.common.Account;380;OK;0;0;1;9;0;5;0;0;0;5;0;0;0;0;0;0
