INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
1.ini;com.uj.atm.common.Account;1276;OK;30;2,73;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_10.ini;com.uj.atm.common.Account;865;OK;11;1;1;21;7;11;3;3;2;6;0;0;0;0;0;0
1_11.ini;com.uj.atm.common.Account;891;OK;23;2,09;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_12.ini;com.uj.atm.common.Account;899;OK;24;2,18;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_13.ini;com.uj.atm.common.Account;911;OK;38;3,45;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_14.ini;com.uj.atm.common.Account;877;OK;38;3,45;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_15.ini;com.uj.atm.common.Account;894;OK;50;4,55;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_16.ini;com.uj.atm.common.Account;904;OK;45;4,09;1;21;11;11;7;7;4;0;0;0;0;0;0;0
1_17.ini;com.uj.atm.common.Account;878;OK;48;4,36;1;21;11;11;7;7;4;0;0;0;0;0;0;0
1_18.ini;com.uj.atm.common.Account;892;OK;41;3,73;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_19.ini;com.uj.atm.common.Account;901;OK;39;3,55;1;21;11;11;9;9;2;0;0;0;0;0;0;0
1_2.ini;com.uj.atm.common.Account;29073;OK;62;5,64;1;21;11;11;7;7;4;0;0;0;0;0;0;0
1_20.ini;com.uj.atm.common.Account;896;OK;24;2,18;1;21;11;11;9;9;2;0;0;0;0;0;0;0
1_21.ini;com.uj.atm.common.Account;859;OK;27;2,45;1;21;11;11;9;9;2;0;0;0;0;0;0;0
1_22.ini;com.uj.atm.common.Account;877;OK;24;2,18;1;21;11;11;9;9;2;0;0;0;0;0;0;0
1_23.ini;com.uj.atm.common.Account;837;OK;11;1;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_24.ini;com.uj.atm.common.Account;921;OK;41;3,73;1;21;11;11;9;9;2;0;0;0;0;0;0;0
1_25.ini;com.uj.atm.common.Account;1443;OK;19;1,73;1;21;7;11;3;3;2;6;0;0;0;0;0;0
1_3.ini;com.uj.atm.common.Account;842;OK;22;2;1;21;11;11;7;7;4;0;0;0;0;0;0;0
1_4.ini;com.uj.atm.common.Account;927;OK;56;5,09;1;21;11;11;7;7;4;0;0;0;0;0;0;0
1_5.ini;com.uj.atm.common.Account;408;OK;0;0;1;21;0;11;0;0;0;11;0;0;0;0;0;0
1_6.ini;com.uj.atm.common.Account;876;OK;26;2,36;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_7.ini;com.uj.atm.common.Account;898;OK;28;2,55;1;21;11;11;8;8;3;0;0;0;0;0;0;0
1_8.ini;com.uj.atm.common.Account;861;OK;50;4,55;1;21;11;11;6;6;5;0;0;0;0;0;0;0
1_9.ini;com.uj.atm.common.Account;840;OK;25;2,27;1;21;11;11;8;8;3;0;0;0;0;0;0;0
