INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
1.ini;com.uj.atm.common.Account;1314;OK;11;cpFromLog;1;1;21;11;11;6;6;5;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.Atm;850;OK;9;cpFromLog;1;1;11;11;9;9;9;0;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.CreditCard;1103;OK;34;cpFromLog;1;1;42;39;34;28;28;6;0;0;0;4;0;0;0
1.ini;com.uj.atm.common.DummySample;382;OK;34;cpFromLog;1;1;42;39;34;28;28;6;0;0;0;4;0;0;0
10.ini;com.uj.atm.common.Account;909;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10.ini;com.uj.atm.common.Atm;1080;OK;20;cpFromLog;1;1;29;23;20;13;13;7;0;0;0;14;0;0;0
10.ini;com.uj.atm.common.CreditCard;1193;OK;29;cpFromLog;1;1;47;36;29;23;23;6;0;0;0;14;0;0;0
10.ini;com.uj.atm.common.DummySample;445;OK;29;cpFromLog;1;1;47;36;29;23;23;6;0;0;0;14;0;0;0
10_1.ini;com.uj.atm.common.Account;884;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.Atm;844;OK;2;cpFromLog;1;1;29;5;2;1;1;1;0;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.CreditCard;434;OK;2;cpFromLog;1;1;29;5;2;1;1;1;0;0;0;13;0;0;0
10_1.ini;com.uj.atm.common.DummySample;411;OK;2;cpFromLog;1;1;29;5;2;1;1;1;0;0;0;13;0;0;0
10_11.ini;com.uj.atm.common.Account;866;OK;7;cpFromLog;1;1;12;10;7;5;5;2;0;0;0;19;0;0;0
10_11.ini;com.uj.atm.common.Atm;1055;OK;19;cpFromLog;1;1;29;22;19;18;18;1;0;0;0;19;0;0;0
